iter	MAE	RMSE
0	0.2784211566	0.3428582983
1	0.2770561467	0.3412103873
2	0.2756538105	0.3395109772
3	0.2743148207	0.3378802808
4	0.2729699889	0.336270166
5	0.2716387564	0.3346489004
6	0.2703250622	0.3330526674
7	0.2690799518	0.3315630315
8	0.2677943678	0.3300146709
9	0.2665565377	0.3285427855
10	0.2653458073	0.3270762838
11	0.2639667739	0.3254681485
12	0.2625805583	0.3238338156
13	0.2611907691	0.3222058314
14	0.2597844148	0.3205390257
15	0.2584519883	0.3189928631
16	0.2571553224	0.3174761471
17	0.255837799	0.3159624069
18	0.2545174051	0.3144375419
19	0.2531638727	0.3128548541
20	0.2519165522	0.3114139516
21	0.2506780531	0.3099553961
22	0.2494474337	0.3085388407
23	0.2481512217	0.3070289016
24	0.2469260458	0.305618132
25	0.2457093437	0.3042150504
26	0.2445417321	0.302879159
27	0.243343384	0.3014943984
28	0.2422416229	0.3002235807
29	0.2411392144	0.2989410541
30	0.2400530264	0.2976868515
31	0.2389251111	0.2963630751
32	0.2378890653	0.295169405
33	0.2368006953	0.2939106108
34	0.2357762695	0.2927173243
35	0.2347121946	0.2914772353
36	0.2337142872	0.2903166455
37	0.2327833367	0.2892251816
38	0.2318011619	0.2880926104
39	0.2308230095	0.2869480853
40	0.2298832987	0.2858655829
41	0.2289015529	0.2847238401
42	0.2279746293	0.2836683729
43	0.2270430725	0.282591436
44	0.2261442025	0.2815661734
45	0.2252750568	0.2805615726
46	0.2243640067	0.2794979393
47	0.2234482331	0.2784412926
48	0.2226029461	0.2774713599
49	0.2217316648	0.2764702557
50	0.2208664352	0.2754810528
51	0.2200453534	0.2745450046
52	0.2193424497	0.2737565167
53	0.2185474457	0.2728365846
54	0.217767477	0.2719372319
55	0.2169618971	0.2710162992
56	0.216157629	0.2701046899
57	0.2154249321	0.2692720832
58	0.2146677917	0.2683987478
59	0.2139891449	0.2676298276
60	0.2132414493	0.2667675603
61	0.2125256655	0.2659169752
62	0.2117986725	0.2650828759
63	0.2111138982	0.2642908577
64	0.2104322849	0.2635214258
65	0.2097903883	0.2627920857
66	0.2091584499	0.2620762519
67	0.2085127242	0.2613398866
68	0.2078757217	0.2606342345
69	0.2072646786	0.2599534731
70	0.2066917109	0.2593151258
71	0.2060742074	0.2586141323
72	0.2054500162	0.2578976298
73	0.20481175	0.257172384
74	0.2041865135	0.2564617646
75	0.2036246915	0.2558204848
76	0.2031188472	0.2552569576
77	0.2025779901	0.2546407057
78	0.2020024289	0.2540020924
79	0.2014571408	0.2533867051
80	0.2009042809	0.2527624857
81	0.2003868036	0.252179034
82	0.1998769084	0.2515866149
83	0.1993889084	0.2510401889
84	0.1988873795	0.2504679645
85	0.1984026867	0.2499300816
86	0.1978909733	0.2493525468
87	0.1973953216	0.2487902104
88	0.1969077886	0.2482467817
89	0.1964699843	0.2477661609
90	0.1959750977	0.2472103627
91	0.1955081034	0.2466862679
92	0.1950461412	0.2461720993
93	0.194620569	0.2457034625
94	0.1941916747	0.2452182973
95	0.1937581238	0.244729917
96	0.1933273266	0.2442409217
97	0.1929036746	0.243773329
98	0.1925154981	0.2433395389
99	0.1921187258	0.2428872961
100	0.1917148722	0.2424435466
101	0.1913205305	0.2419985962
102	0.1909282576	0.2415614669
103	0.1905740949	0.2411630032
104	0.1901678463	0.2407168669
105	0.1898089539	0.240319489
106	0.1894501095	0.2399016811
107	0.1891009723	0.2395109515
108	0.1887053218	0.2390810613
109	0.1883529181	0.238677194
110	0.1880227931	0.238319413
111	0.1876382024	0.237895888
112	0.1873181198	0.2375412954
113	0.1869605066	0.237145073
114	0.1866009718	0.2367435784
115	0.186255754	0.2363572609
116	0.1859398231	0.2360069641
117	0.1856115109	0.235627185
118	0.1852917989	0.2352779338
119	0.1849922652	0.2349411733
120	0.1846956843	0.2346105261
121	0.1844044573	0.2342782554
122	0.1841091973	0.2339408963
123	0.1838332378	0.2336298113
124	0.1835157961	0.2332764187
125	0.1832425305	0.232970555
126	0.1829607025	0.232651302
127	0.1826775458	0.2323397269
128	0.1824042541	0.2320347037
129	0.1821500345	0.2317400649
130	0.1818915757	0.2314602942
131	0.1816321873	0.2311721699
132	0.1813758977	0.2308851112
133	0.1811082178	0.2305910225
134	0.1808585905	0.2303045381
135	0.1806143612	0.2300443782
136	0.180378372	0.2297840671
137	0.1801334482	0.2295210087
138	0.1799082635	0.2292615939
139	0.179670846	0.2289971688
140	0.1794376807	0.228739899
141	0.1792007948	0.2284762291
142	0.1789970848	0.2282459965
143	0.1787857396	0.2280071131
144	0.1785435757	0.2277444281
145	0.1783003974	0.2274750953
146	0.1780848455	0.2272293588
147	0.1778470784	0.2269682279
148	0.1776417082	0.226737384
149	0.1774417354	0.2265050155
150	0.1772243835	0.226252589
151	0.1770180989	0.226027744
152	0.1767774679	0.2257535674
153	0.1765585392	0.2255149928
154	0.1763433619	0.2252698577
155	0.1761505184	0.2250484083
156	0.1759640981	0.2248272444
157	0.175777687	0.2246100397
158	0.1755662538	0.2243729741
159	0.175386359	0.2241781685
160	0.1751710581	0.2239367914
161	0.1749962668	0.2237490397
162	0.1748254391	0.2235646512
163	0.1746392855	0.2233534387
164	0.1744638574	0.2231476225
165	0.1742759893	0.2229347218
166	0.1740922459	0.2227341266
167	0.1739341058	0.22255521
168	0.1737683179	0.2223755378
169	0.1736183297	0.2222122134
170	0.1734634368	0.2220305787
171	0.173289806	0.2218415682
172	0.1731312765	0.2216646006
173	0.1729831104	0.2215024915
174	0.1728130892	0.2213172564
175	0.1726576412	0.2211436285
176	0.1724914929	0.2209688428
177	0.1723605266	0.2208270953
178	0.1722019695	0.2206505318
179	0.1720382822	0.2204718624
180	0.1718886505	0.2203138451
181	0.1717669552	0.2201834106
182	0.1716187989	0.2200190906
183	0.1714639132	0.2198549629
184	0.1713245831	0.2196950315
185	0.1711803919	0.2195398173
186	0.1710665369	0.2194137014
187	0.1709433729	0.2192745652
188	0.170812624	0.2191222115
189	0.17068603	0.2189849784
190	0.1705553929	0.2188416057
191	0.1704050679	0.2186730229
192	0.1703088435	0.2185622129
193	0.1701751678	0.2184149557
194	0.1700535168	0.2182780566
195	0.1699475457	0.2181645087
196	0.1698374276	0.218048374
197	0.1697153009	0.2179192814
198	0.1696023797	0.2177899056
199	0.1694947619	0.2176696609
200	0.1693729697	0.2175369678
201	0.169257547	0.217414445
202	0.169153688	0.2172979545
203	0.1690379859	0.2171691107
204	0.1689205959	0.2170330827
205	0.168813382	0.2169172173
206	0.1687108567	0.2168062787
207	0.1686011402	0.2166836325
208	0.1684971996	0.2165695821
209	0.1683844146	0.2164495117
210	0.1682772559	0.2163281781
211	0.168169864	0.2162086048
212	0.1680565136	0.2160805783
213	0.1679524487	0.2159635462
214	0.1678548731	0.2158636299
215	0.1677422293	0.215742243
216	0.1676477286	0.2156408196
217	0.1675595013	0.2155390999
218	0.1674628489	0.2154361196
219	0.1673283989	0.2152887673
220	0.1672499899	0.2152093823
221	0.1671415629	0.2150824641
222	0.1670305002	0.2149551117
223	0.166963138	0.2148816224
224	0.1668537861	0.2147604144
225	0.1667465591	0.2146338307
226	0.166604091	0.2144856817
227	0.1664727912	0.2143460625
228	0.1663256863	0.2141792346
229	0.1661785185	0.2140130808
230	0.1660713782	0.2138953262
231	0.1659456465	0.213760097
232	0.1657941644	0.21359603
233	0.1656638738	0.2134461868
234	0.1655487801	0.2133127532
235	0.1654053761	0.213153971
236	0.1652625351	0.212991806
237	0.1651365186	0.2128619996
238	0.1650357707	0.2127513744
239	0.1649186232	0.2126122558
240	0.1648193571	0.2125009792
241	0.164702524	0.21236953
242	0.1646069633	0.2122642626
243	0.1644902969	0.2121396164
244	0.1643832846	0.2120217591
245	0.1643122088	0.211942978
246	0.1641987206	0.2118115619
247	0.1640816949	0.2116758854
248	0.1639755684	0.2115466952
249	0.1638573195	0.2114149103
250	0.1637384411	0.2112916698
251	0.163625392	0.2111640239
252	0.1635416827	0.2110757398
253	0.1634488656	0.2109769107
254	0.1633723355	0.2108923797
255	0.1633014102	0.2108105617
256	0.1631926011	0.2106895295
257	0.1630740412	0.2105552002
258	0.163013452	0.2104884355
259	0.1629233337	0.210397041
260	0.162826293	0.2102948098
261	0.1627389163	0.2101984359
262	0.1626569634	0.2101013783
263	0.1625587262	0.2099906032
264	0.1624681653	0.209889992
265	0.1624150334	0.2098290009
266	0.1623267743	0.2097335395
267	0.1622456191	0.2096338472
268	0.1621820652	0.2095614643
269	0.1620849711	0.2094529875
270	0.1619986239	0.2093564436
271	0.1618961105	0.2092403392
272	0.1618205365	0.2091579053
273	0.1617314376	0.2090664577
274	0.161638784	0.2089650714
275	0.1615435471	0.2088653913
276	0.161447962	0.2087639011
277	0.1613777082	0.2086801069
278	0.161292039	0.2085910282
279	0.1612217472	0.2085147473
280	0.161149504	0.2084364035
281	0.1610686294	0.2083411775
282	0.1610012997	0.2082672805
283	0.1609547525	0.2082189201
284	0.1608897747	0.2081478198
285	0.1608255399	0.2080798302
286	0.1608040934	0.20805724
287	0.160739908	0.2079890122
288	0.1606780679	0.2079250866
289	0.1606019118	0.2078343834
290	0.1604995133	0.207722256
291	0.1604292711	0.2076393553
292	0.160337701	0.2075432694
293	0.1602892487	0.2074912588
294	0.1602405341	0.207442082
295	0.1601691418	0.2073576519
296	0.1601078103	0.2072917137
297	0.1600410377	0.2072097137
298	0.1599767731	0.2071444054
299	0.1599190947	0.2070770925
300	0.1598728532	0.2070321246
301	0.1598132799	0.206965466
302	0.1597458001	0.2068912964
303	0.1597093855	0.206845636
304	0.1596463008	0.2067815127
305	0.1596077949	0.2067342425
306	0.1595936585	0.2067195807
307	0.1595515016	0.2066716368
308	0.1595055918	0.2066199723
309	0.1594260545	0.2065363398
310	0.1593558621	0.2064581844
311	0.1592840836	0.20637788
312	0.159193544	0.2062686724
313	0.1591254961	0.2061972542
314	0.1590881394	0.2061563161
315	0.159035568	0.2060925423
316	0.1589807606	0.2060285114
317	0.1589234585	0.2059651074
318	0.1588515886	0.2058918134
319	0.1587881562	0.2058252465
320	0.1587751871	0.2058144506
321	0.1587264777	0.2057620956
322	0.1586721004	0.2057029217
323	0.1586193922	0.2056497897
324	0.1585586692	0.2055779864
325	0.1584926279	0.2055132263
326	0.1584308339	0.2054450258
327	0.1583970239	0.2054113871
328	0.1583436976	0.205351066
329	0.1583069168	0.2053077891
330	0.1582572166	0.2052454553
331	0.1581704284	0.2051513405
332	0.1581250068	0.2051004558
333	0.1580682904	0.2050415042
334	0.158021712	0.204987398
335	0.1579679952	0.204919592
336	0.1579052977	0.204842671
337	0.1578732915	0.204804002
338	0.1578152784	0.2047389787
339	0.1577561318	0.204669919
340	0.15770123	0.2046084233
341	0.1576463415	0.2045526789
342	0.1576055315	0.2045126929
343	0.1575504764	0.2044480761
344	0.1575059022	0.2044033849
345	0.1574403225	0.2043262403
346	0.1574362787	0.2043216172
347	0.1573704758	0.2042490808
348	0.1572998141	0.204162643
349	0.1572485927	0.2041012733
350	0.1571864629	0.2040381635
351	0.1571130423	0.2039582361
352	0.1570578779	0.2038943067
353	0.1570281547	0.20385909
354	0.1569637089	0.2037842401
355	0.1569391831	0.2037628774
356	0.1569095454	0.2037299324
357	0.1568509864	0.2036672472
358	0.1567995259	0.2036101716
359	0.1567471022	0.2035500035
360	0.1566846565	0.2034850241
361	0.156644155	0.2034368348
362	0.1565982213	0.2033812477
363	0.1565635348	0.2033416393
364	0.156521063	0.2032952062
365	0.156448285	0.2032086496
366	0.1563870933	0.2031445836
367	0.1563689831	0.203128854
368	0.1563397968	0.2030986432
369	0.1562835983	0.2030332886
370	0.1562465098	0.2029890446
371	0.1561847884	0.2029188731
372	0.156141274	0.2028680415
373	0.1561019664	0.2028254961
374	0.1560584774	0.2027707152
375	0.1560025999	0.202701789
376	0.1559514391	0.2026454447
377	0.1558600077	0.2025329628
378	0.1558090699	0.2024764729
379	0.1557648233	0.2024233643
380	0.155699796	0.2023452829
381	0.1556588474	0.2022993627
382	0.1556159553	0.2022460136
383	0.1555366207	0.2021526459
384	0.1554924675	0.2021016979
385	0.1554435567	0.202048315
386	0.1554016648	0.2019942698
